Time(s),CH1V
3.420000e-04,3.014800e-01
3.440000e-04,3.007867e-01
3.460000e-04,3.011333e-01
3.480000e-04,3.007867e-01
3.500000e-04,3.007867e-01
3.520000e-04,3.007867e-01
3.540000e-04,3.019400e-01
3.560000e-04,3.009067e-01
3.580000e-04,3.018267e-01
3.600000e-04,3.015933e-01
3.620000e-04,3.017133e-01
3.640000e-04,3.015933e-01
3.660000e-04,3.018267e-01
3.680000e-04,3.010200e-01
3.700000e-04,3.020600e-01
3.720000e-04,3.013667e-01
3.740000e-04,3.020600e-01
3.760000e-04,3.007867e-01
3.780000e-04,3.011333e-01
3.800000e-04,3.011333e-01
3.820000e-04,3.014800e-01
3.840000e-04,3.005600e-01
3.860000e-04,3.012467e-01
3.880000e-04,3.011333e-01
3.900000e-04,3.013667e-01
3.920000e-04,3.007867e-01
3.940000e-04,3.018267e-01
3.960000e-04,3.007867e-01
3.980000e-04,3.012467e-01
4.000000e-04,3.007867e-01
4.020000e-04,3.014800e-01
4.040000e-04,3.007867e-01
4.060000e-04,3.020600e-01
4.080000e-04,3.019400e-01
4.100000e-04,3.020600e-01
4.120000e-04,3.017133e-01
4.140000e-04,3.012467e-01
4.160000e-04,3.007867e-01
4.180000e-04,3.013667e-01
4.200000e-04,3.004400e-01
4.220000e-04,3.014800e-01
4.240000e-04,3.004400e-01
4.260000e-04,3.018267e-01
4.280000e-04,3.007867e-01
4.300000e-04,3.017133e-01
4.320000e-04,3.013667e-01
4.340000e-04,3.022867e-01
4.360000e-04,3.015933e-01
4.380000e-04,3.022867e-01
4.400000e-04,3.012467e-01
4.420000e-04,3.017133e-01
4.440000e-04,3.012467e-01
4.460000e-04,3.025200e-01
4.480000e-04,3.014800e-01
4.500000e-04,3.020600e-01
4.520000e-04,3.012467e-01
4.540000e-04,3.015933e-01
4.560000e-04,3.012467e-01
4.580000e-04,3.011333e-01
4.600000e-04,3.006733e-01
4.620000e-04,3.012467e-01
4.640000e-04,3.006733e-01
4.660000e-04,3.015933e-01
4.680000e-04,3.007867e-01
4.700000e-04,3.012467e-01
4.720000e-04,3.010200e-01
4.740000e-04,3.018267e-01
4.760000e-04,3.011333e-01
4.780000e-04,3.019400e-01
4.800000e-04,3.010200e-01
4.820000e-04,3.017133e-01
4.840000e-04,3.007867e-01
4.860000e-04,3.011333e-01
4.880000e-04,3.012467e-01
4.900000e-04,3.018267e-01
4.920000e-04,3.015933e-01
4.940000e-04,3.018267e-01
4.960000e-04,3.018267e-01
4.980000e-04,3.021733e-01
5.000000e-04,1.747533e-01
5.020000e-04,4.502667e-02
5.040000e-04,1.120667e-02
5.060000e-04,4.053333e-03
5.080000e-04,1.280000e-03
5.100000e-04,1.626667e-03
5.120000e-04,7.066667e-04
5.140000e-04,1.400000e-03
5.160000e-04,8.200000e-04
5.180000e-04,1.626667e-03
5.200000e-04,1.053333e-03
5.220000e-04,1.400000e-03
5.240000e-04,8.200000e-04
5.260000e-04,1.280000e-03
5.280000e-04,3.600000e-04
5.300000e-04,1.626667e-03
5.320000e-04,7.066667e-04
5.340000e-04,1.513333e-03
5.360000e-04,9.333334e-04
5.380000e-04,7.066667e-04
5.400000e-04,9.333334e-04
5.420000e-04,9.333334e-04
5.440000e-04,5.866667e-04
5.460000e-04,7.066667e-04
5.480000e-04,7.066667e-04
5.500000e-04,5.866667e-04
5.520000e-04,7.066667e-04
5.540000e-04,9.333334e-04
5.560000e-04,4.733333e-04
5.580000e-04,1.166667e-03
5.600000e-04,3.600000e-04
5.620000e-04,1.513333e-03
5.640000e-04,8.200000e-04
5.660000e-04,1.400000e-03
5.680000e-04,7.066667e-04
5.700000e-04,8.200000e-04
5.720000e-04,4.733333e-04
5.740000e-04,1.166667e-03
5.760000e-04,2.400000e-04
5.780000e-04,1.280000e-03
5.800000e-04,9.333334e-04
5.820000e-04,9.333334e-04
5.840000e-04,3.600000e-04
5.860000e-04,1.166667e-03
5.880000e-04,7.066667e-04
5.900000e-04,4.733333e-04
5.920000e-04,3.600000e-04
5.940000e-04,5.866667e-04
5.960000e-04,8.200000e-04
5.980000e-04,5.866667e-04
6.000000e-04,1.266667e-04
6.020000e-04,1.053333e-03
6.040000e-04,1.266667e-04
6.060000e-04,8.200000e-04
6.080000e-04,1.333333e-05
6.100000e-04,5.866667e-04
6.120000e-04,-2.200000e-04
6.140000e-04,1.053333e-03
6.160000e-04,7.066667e-04
6.180000e-04,1.166667e-03
6.200000e-04,4.733333e-04
6.220000e-04,1.053333e-03
6.240000e-04,4.733333e-04
6.260000e-04,8.200000e-04
6.280000e-04,7.066667e-04
6.300000e-04,5.866667e-04
6.320000e-04,2.400000e-04
6.340000e-04,4.733333e-04
6.360000e-04,4.733333e-04
6.380000e-04,1.400000e-03
6.400000e-04,3.600000e-04
6.420000e-04,8.200000e-04
6.440000e-04,3.600000e-04
6.460000e-04,1.166667e-03
6.480000e-04,3.600000e-04
6.500000e-04,8.200000e-04
6.520000e-04,5.866667e-04
6.540000e-04,1.053333e-03
6.560000e-04,2.400000e-04
6.580000e-04,1.166667e-03
6.600000e-04,9.333334e-04
6.620000e-04,8.200000e-04
6.640000e-04,7.066667e-04
6.660000e-04,1.400000e-03
6.680000e-04,7.066667e-04
6.700000e-04,4.733333e-04
6.720000e-04,3.600000e-04
6.740000e-04,1.053333e-03
6.760000e-04,3.600000e-04
6.780000e-04,5.866667e-04
6.800000e-04,3.600000e-04
6.820000e-04,9.333334e-04
6.840000e-04,7.066667e-04
6.860000e-04,1.166667e-03
6.880000e-04,3.600000e-04
6.900000e-04,7.066667e-04
6.920000e-04,4.733333e-04
6.940000e-04,1.053333e-03
6.960000e-04,4.733333e-04
6.980000e-04,1.053333e-03
7.000000e-04,4.733333e-04
7.020000e-04,8.200000e-04
7.040000e-04,4.733333e-04
7.060000e-04,3.600000e-04
7.080000e-04,3.600000e-04
7.100000e-04,1.280000e-03
7.120000e-04,4.733333e-04
7.140000e-04,1.400000e-03
7.160000e-04,7.066667e-04
7.180000e-04,9.333334e-04
7.200000e-04,1.266667e-04
7.220000e-04,1.400000e-03
7.240000e-04,1.053333e-03
7.260000e-04,8.200000e-04
7.280000e-04,2.400000e-04
7.300000e-04,8.200000e-04
7.320000e-04,3.600000e-04
7.340000e-04,9.333334e-04
7.360000e-04,5.866667e-04
7.380000e-04,1.053333e-03
7.400000e-04,5.866667e-04
7.420000e-04,7.066667e-04
7.440000e-04,7.066667e-04
7.460000e-04,4.733333e-04
7.480000e-04,-1.000000e-04
7.500000e-04,5.866667e-04
7.520000e-04,1.333333e-05
7.540000e-04,8.200000e-04
7.560000e-04,4.733333e-04
7.580000e-04,1.053333e-03
7.600000e-04,4.733333e-04
7.620000e-04,8.200000e-04
7.640000e-04,7.066667e-04
7.660000e-04,1.280000e-03
7.680000e-04,2.400000e-04
7.700000e-04,1.626667e-03
