Time(s),CH1V,CH2V,CH3V,CH4V
-4.500000e-04,8.533333e-04,1.020000e-03,1.060000e-03,2.200000e-03
-4.480000e-04,6.200000e-04,4.400000e-04,2.666667e-05,2.000000e-05
-4.460000e-04,1.200000e-03,2.133333e-04,7.200000e-04,2.000000e-05
-4.440000e-04,5.066667e-04,4.400000e-04,3.733333e-04,4.800000e-04
-4.420000e-04,1.660000e-03,7.933333e-04,9.466666e-04,2.000000e-05
-4.400000e-04,2.733333e-04,1.020000e-03,2.600000e-04,2.466667e-04
-4.380000e-04,8.533333e-04,4.400000e-04,2.600000e-04,5.933333e-04
-4.360000e-04,8.533333e-04,7.933333e-04,4.866667e-04,-9.333334e-05
-4.340000e-04,9.666667e-04,3.266667e-04,7.200000e-04,2.466667e-04
-4.320000e-04,3.866667e-04,3.266667e-04,4.866667e-04,4.800000e-04
-4.300000e-04,1.426667e-03,5.600000e-04,7.200000e-04,8.200000e-04
-4.280000e-04,5.066667e-04,1.020000e-03,4.866667e-04,1.333333e-04
-4.260000e-04,1.080000e-03,7.933333e-04,9.466666e-04,7.066667e-04
-4.240000e-04,9.666667e-04,4.400000e-04,1.400000e-04,2.466667e-04
-4.220000e-04,1.546667e-03,9.333334e-05,9.466666e-04,4.800000e-04
-4.200000e-04,6.200000e-04,7.933333e-04,-8.666667e-05,-5.533333e-04
-4.180000e-04,1.546667e-03,2.133333e-04,9.466666e-04,2.466667e-04
-4.160000e-04,7.333333e-04,9.066667e-04,3.733333e-04,5.933333e-04
-4.140000e-04,1.200000e-03,7.933333e-04,1.060000e-03,2.466667e-04
-4.120000e-04,9.666667e-04,6.733334e-04,1.400000e-04,-2.133333e-04
-4.100000e-04,1.313333e-03,9.066667e-04,9.466666e-04,4.800000e-04
-4.080000e-04,1.660000e-03,9.066667e-04,2.600000e-04,-9.333334e-05
-4.060000e-04,1.426667e-03,4.400000e-04,6.000000e-04,2.466667e-04
-4.040000e-04,5.066667e-04,9.066667e-04,-8.666667e-05,2.466667e-04
-4.020000e-04,1.200000e-03,5.600000e-04,1.060000e-03,7.066667e-04
-4.000000e-04,1.600000e-04,5.600000e-04,3.733333e-04,2.466667e-04
-3.980000e-04,1.080000e-03,4.400000e-04,-8.666667e-05,4.800000e-04
-3.960000e-04,-7.333334e-05,6.733334e-04,4.866667e-04,1.333333e-04
-3.940000e-04,9.666667e-04,4.400000e-04,7.200000e-04,3.600000e-04
-3.920000e-04,2.733333e-04,9.066667e-04,3.733333e-04,1.333333e-04
-3.900000e-04,1.080000e-03,2.133333e-04,1.180000e-03,3.600000e-04
-3.880000e-04,1.600000e-04,2.133333e-04,1.180000e-03,-3.266667e-04
-3.860000e-04,6.200000e-04,7.933333e-04,9.466666e-04,4.800000e-04
-3.840000e-04,-3.000000e-04,6.733334e-04,-8.933333e-04,-5.533333e-04
-3.820000e-04,2.733333e-04,5.600000e-04,3.733333e-04,-6.733334e-04
-3.800000e-04,4.000000e-05,5.600000e-04,1.060000e-03,4.800000e-04
-3.780000e-04,6.200000e-04,9.066667e-04,7.200000e-04,2.313333e-03
-3.760000e-04,5.066667e-04,5.600000e-04,3.733333e-04,-9.333334e-05
